ano,mes,total_obitos
2014,1,836
2014,2,781
2014,3,824
2014,4,797
2014,5,875
2014,6,925
2014,7,944
2014,8,1022
2014,9,924
2014,10,880
2014,11,761
2014,12,815
2015,1,835
2015,2,750
2015,3,751
2015,4,814
2015,5,919
2015,6,979
2015,7,1013
2015,8,956
2015,9,924
2015,10,948
2015,11,831
2015,12,860
2016,1,906
2016,2,841
2016,3,858
2016,4,841
2016,5,1070
2016,6,1179
2016,7,1126
2016,8,1085
2016,9,979
2016,10,953
2016,11,893
2016,12,849
2017,1,768
2017,2,760
2017,3,844
2017,4,858
2017,5,983
2017,6,1035
2017,7,1040
2017,8,1024
2017,9,940
2017,10,903
2017,11,890
2017,12,884
2018,1,844
2018,2,744
2018,3,871
2018,4,891
2018,5,934
2018,6,1122
2018,7,1128
2018,8,1083
2018,9,981
2018,10,896
2018,11,866
2018,12,891
2019,1,889
2019,2,802
2019,3,871
2019,4,868
2019,5,937
2019,6,1023
2019,7,1197
2019,8,1058
2019,9,983
2019,10,1017
2019,11,869
2019,12,953
2020,1,889
2020,2,794
2020,3,881
2020,4,849
2020,5,924
2020,6,953
2020,7,1126
2020,8,1163
2020,9,971
2020,10,967
2020,11,914
2020,12,1016
2021,1,930
2021,2,871
2021,3,1089
2021,4,981
2021,5,1170
2021,6,1164
2021,7,1319
2021,8,1178
2021,9,1045
2021,10,1100
2021,11,1056
2021,12,979
2022,1,1198
2022,2,962
2022,3,1001
2022,4,1046
2022,5,1250
2022,6,1405
2022,7,1229
2022,8,1192
2022,9,1137
2022,10,1090
2022,11,978
2022,12,1035
2023,1,994
2023,2,871
2023,3,1000
2023,4,1082
2023,5,1254
2023,6,1215
2023,7,1232
2023,8,1191
2023,9,1100
2023,10,1078
2023,11,1059
2023,12,1112
2024,1,1107
2024,2,1000
2024,3,1124
2024,4,1094
2024,5,1250
2024,6,1275
2024,7,1379
2024,8,1321
2024,9,1164
2024,10,1201
2024,11,1058
2024,12,1007
