codigo,geocodigo,municipio,uf
520005,5200050,Abadia de Goiás,GO
310010,3100104,Abadia dos Dourados,MG
520010,5200100,Abadiânia,GO
310020,3100203,Abaeté,MG
150010,1500107,Abaetetuba,PA
230010,2300101,Abaiara,CE
290010,2900108,Abaíra,BA
290020,2900207,Abaré,BA
410010,4100103,Abatiá,PR
420005,4200051,Abdon Batista,SC
150013,1500131,Abel Figueiredo,PA
420010,4200101,Abelardo Luz,SC
310030,3100302,Abre Campo,MG
260005,2600054,Abreu e Lima,PE
170025,1700251,Abreulândia,TO
310040,3100401,Acaiaca,MG
210005,2100055,Açailândia,MA
290030,2900306,Acajutiba,BA
150020,1500206,Acará,PA
230015,2300150,Acarape,CE
230020,2300200,Acaraú,CE
240010,2400109,Acari,RN
220005,2200053,Acauã,PI
430003,4300034,Aceguá,RS
230030,2300309,Acopiara,CE
510010,5100102,Acorizal,MT
120001,1200013,Acrelândia,AC
520013,5200134,Acreúna,GO
240020,2400208,Açu,RN
310050,3100500,Açucena,MG
350010,3500105,Adamantina,SP
520015,5200159,Adelândia,GO
350020,3500204,Adolfo,SP
410020,4100202,Adrianópolis,PR
290035,2900355,Adustina,BA
260010,2600104,Afogados da Ingazeira,PE
240030,2400307,Afonso Bezerra,RN
320010,3200102,Afonso Cláudio,ES
210010,2100105,Afonso Cunha,MA
260020,2600203,Afrânio,PE
150030,1500305,Afuá,PA
260030,2600302,Agrestina,PE
220010,2200103,Agricolândia,PI
420020,4200200,Agrolândia,SC
420030,4200309,Agronômica,SC
150034,1500347,Água Azul do Norte,PA
310060,3100609,Água Boa,MG
510020,5100201,Água Boa,MT
220020,2200202,Água Branca,PI
250010,2500106,Água Branca,PB
270010,2700102,Água Branca,AL
500020,5000203,Água Clara,MS
310070,3100708,Água Comprida,MG
420040,4200408,Água Doce,SC
210015,2100154,Água Doce do Maranhão,MA
320016,3200169,Água Doce do Norte,ES
290040,2900405,Água Fria,BA
520017,5200175,Água Fria de Goiás,GO
520020,5200209,Água Limpa,GO
240040,2400406,Água Nova,RN
260040,2600401,Água Preta,PE
430005,4300059,Água Santa,RS
350030,3500303,Aguaí,SP
310080,3100807,Aguanil,MG
260050,2600500,Águas Belas,PE
350040,3500402,Águas da Prata,SP
420050,4200507,Águas de Chapecó,SC
350050,3500501,Águas de Lindóia,SP
350055,3500550,Águas de Santa Bárbara,SP
350060,3500600,Águas de São Pedro,SP
310090,3100906,Águas Formosas,MG
420055,4200556,Águas Frias,SC
520025,5200258,Águas Lindas de Goiás,GO
420060,4200606,Águas Mornas,SC
310100,3101003,Águas Vermelhas,MG
430010,4300109,Agudo,RS
350070,3500709,Agudos,SP
410030,4100301,Agudos do Sul,PR
320013,3200136,Águia Branca,ES
250020,2500205,Aguiar,PB
170030,1700301,Aguiarnópolis,TO
310110,3101102,Aimorés,MG
290060,2900603,Aiquara,BA
230040,2300408,Aiuaba,CE
310120,3101201,Aiuruoca,MG
430020,4300208,Ajuricaba,RS
310130,3101300,Alagoa,MG
250030,2500304,Alagoa Grande,PB
250040,2500403,Alagoa Nova,PB
250050,2500502,Alagoinha,PB
260060,2600609,Alagoinha,PE
220025,2200251,Alagoinha do Piauí,PI
290070,2900702,Alagoinhas,BA
350075,3500758,Alambari,SP
310140,3101409,Albertina,MG
210020,2100204,Alcântara,MA
230050,2300507,Alcântaras,CE
250053,2500536,Alcantil,PB
500025,5000252,Alcinópolis,MS
290080,2900801,Alcobaça,BA
210030,2100303,Aldeias Altas,MA
430030,4300307,Alecrim,RS
320020,3200201,Alegre,ES
430040,4300406,Alegrete,RS
220027,2200277,Alegrete do Piauí,PI
430045,4300455,Alegria,RS
310150,3101508,Além Paraíba,MG
150040,1500404,Alenquer,PA
240050,2400505,Alexandria,RN
520030,5200308,Alexânia,GO
310160,3101607,Alfenas,MG
320030,3200300,Alfredo Chaves,ES
350080,3500808,Alfredo Marcondes,SP
310163,3101631,Alfredo Vasconcelos,MG
